N:100, num_eigs:5, dtype:torch.float32, run_time:0.037286996841430664, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:224740
N:1000, num_eigs:50, dtype:torch.float32, run_time:0.0408482551574707, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:12052132
N:2000, num_eigs:100, dtype:torch.float32, run_time:0.04356813430786133, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:48104132
N:5000, num_eigs:250, dtype:torch.float32, run_time:0.30492258071899414, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:300260132
N:10000, num_eigs:500, dtype:torch.float32, run_time:1.5716605186462402, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:1200520132
N:15000, num_eigs:750, dtype:torch.float32, run_time:4.2555320262908936, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:2700780132
N:20000, num_eigs:1000, dtype:torch.float32, run_time:8.94729733467102, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:4801040132
N:25000, num_eigs:1250, dtype:torch.float32, run_time:16.15139675140381, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:7501300132
N:30000, num_eigs:1500, dtype:torch.float32, run_time:26.522607564926147, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:10801560132
N:35000, num_eigs:1750, dtype:torch.float32, run_time:40.30367851257324, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:14701820132
N:40000, num_eigs:2000, dtype:torch.float32, run_time:58.2517831325531, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:19202080132
N:45000, num_eigs:2250, dtype:torch.float32, run_time:81.85389757156372, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:24302340132
N:50000, num_eigs:2500, dtype:torch.float32, run_time:110.29480576515198, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:30002600132
N:100, num_eigs:5, dtype:torch.float64, run_time:0.0062503814697265625, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:449352
N:1000, num_eigs:50, dtype:torch.float64, run_time:0.025731563568115234, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:24076136
N:2000, num_eigs:100, dtype:torch.float64, run_time:0.0436558723449707, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:96152136
N:5000, num_eigs:250, dtype:torch.float64, run_time:0.4525425434112549, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:600380136
N:10000, num_eigs:500, dtype:torch.float64, run_time:2.601301670074463, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:2400760136
N:15000, num_eigs:750, dtype:torch.float64, run_time:7.360281705856323, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:5401140136
N:20000, num_eigs:1000, dtype:torch.float64, run_time:16.31759023666382, device:NVIDIA A100-SXM4-40GB, method:cusolverSyevdx, workspace_bytes:9601520136
