N, cusolver_eigh, cusolver_mg_eigh(1 gpu), cusolver_mg_eigh(2 gpu), cusolver_mg_eigh(4 gpu), cusolver_mg_eigh(8 gpu),
1000, 24, 45, 31, 31, 31, 
2000, 96, 123, 71, 45, 45, 
5000, 600, 675, 347, 216, 150, 
10000, 2400, 3182, 2772, 2567, 2485, 
15000, 5401, 5920, 3284, 2854, 2608, 
20000, 9601, 10507, 5264, 3182, 2772, 
25000, 15001, 16084, 8216, 4283, 3079, 
30000, 21602, 23227, 11821, 5921, 3346, 
35000, 29402, 31680, 16081, 8281, 4152, 
40000, 38403, 41443, 20995, 10509, 5266, 
45000, 48603, 51939, 25981, 13002, 6513, 
50000, 60003, 64259, 32141, 16410, 8545, 
60000, 86404, 92827, 46426, 23619, 11822, 
70000, 117605, 125737, 63341, 32142, 16543, 
80000, 153606, 164658, 82867, 41972, 21000, 
90000, 194406, 207664, 103846, 51938, 25983, 
100000, 240007, 256936, 128483, 64257, 32799,
