N:100, num_eigs:5, dtype:torch.float32, run_time:0.017764806747436523, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:224740
N:1000, num_eigs:50, dtype:torch.float32, run_time:0.037641048431396484, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:12052132
N:2000, num_eigs:100, dtype:torch.float32, run_time:0.0707244873046875, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:48104132
N:5000, num_eigs:250, dtype:torch.float32, run_time:0.4468059539794922, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:300260132
N:10000, num_eigs:500, dtype:torch.float32, run_time:2.32476806640625, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:1200520132
N:15000, num_eigs:750, dtype:torch.float32, run_time:6.1986284255981445, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:2700780132
N:20000, num_eigs:1000, dtype:torch.float32, run_time:14.500000953674316, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:4801040132
N:25000, num_eigs:1250, dtype:torch.float32, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:7501300132
N:30000, num_eigs:1500, dtype:torch.float32, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:10801560132
N:35000, num_eigs:1750, dtype:torch.float32, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:14701820132
N:40000, num_eigs:2000, dtype:torch.float32, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:19202080132
N:45000, num_eigs:2250, dtype:torch.float32, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:24302340132
N:50000, num_eigs:2500, dtype:torch.float32, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:30002600132
N:100, num_eigs:5, dtype:torch.float64, run_time:0.007077693939208984, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:449352
N:1000, num_eigs:50, dtype:torch.float64, run_time:0.0515141487121582, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:24076136
N:2000, num_eigs:100, dtype:torch.float64, run_time:0.16107630729675293, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:96152136
N:5000, num_eigs:250, dtype:torch.float64, run_time:1.8053743839263916, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:600380136
N:10000, num_eigs:500, dtype:torch.float64, run_time:11.325151205062866, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:2400760136
N:15000, num_eigs:750, dtype:torch.float64, run_time:28.868696212768555, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:5401140136
N:20000, num_eigs:1000, dtype:torch.float64, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:9601520136
N:25000, num_eigs:1250, dtype:torch.float64, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:15001900136
N:30000, num_eigs:1500, dtype:torch.float64, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:21602280136
N:35000, num_eigs:1750, dtype:torch.float64, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:29402660136
N:40000, num_eigs:2000, dtype:torch.float64, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:38403040136
N:45000, num_eigs:2250, dtype:torch.float64, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:48603420136
N:50000, num_eigs:2500, dtype:torch.float64, run_time:None, device:RTX-3070-8GB, method:cusolverSyevdx, workspace_bytes:60003800136
N:100, num_eigs:100, dtype:torch.float32, run_time:1.7202601432800293, device:RTX-3070-8GB, method:cusolverMgsyevd, workspace_bytes:20166016
N:1000, num_eigs:1000, dtype:torch.float32, run_time:1.8563182353973389, device:RTX-3070-8GB, method:cusolverMgsyevd, workspace_bytes:49957888
N:2000, num_eigs:2000, dtype:torch.float32, run_time:2.0561039447784424, device:RTX-3070-8GB, method:cusolverMgsyevd, workspace_bytes:143571328
