N:100, num_eigs:5, dtype:torch.float32, run_time:0.011639118194580078, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:224740
N:1000, num_eigs:50, dtype:torch.float32, run_time:0.021250247955322266, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:12052132
N:2000, num_eigs:100, dtype:torch.float32, run_time:0.01878643035888672, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:48104132
N:5000, num_eigs:250, dtype:torch.float32, run_time:0.13426613807678223, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:300260132
N:10000, num_eigs:500, dtype:torch.float32, run_time:1.0960216522216797, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:1200520132
N:15000, num_eigs:750, dtype:torch.float32, run_time:3.48783802986145, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:2700780132
N:20000, num_eigs:1000, dtype:torch.float32, run_time:8.041262865066528, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:4801040132
N:25000, num_eigs:1250, dtype:torch.float32, run_time:15.525998830795288, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:7501300132
N:30000, num_eigs:1500, dtype:torch.float32, run_time:25.999504327774048, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:10801560132
N:35000, num_eigs:1750, dtype:torch.float32, run_time:41.133421421051025, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:14701820132
N:40000, num_eigs:2000, dtype:torch.float32, run_time:None, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:19202080132
N:45000, num_eigs:2250, dtype:torch.float32, run_time:None, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:24302340132
N:50000, num_eigs:2500, dtype:torch.float32, run_time:None, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:30002600132
N:100, num_eigs:5, dtype:torch.float64, run_time:0.0070307254791259766, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:449352
N:1000, num_eigs:50, dtype:torch.float64, run_time:0.028427839279174805, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:24076136
N:2000, num_eigs:100, dtype:torch.float64, run_time:0.06244611740112305, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:96152136
N:5000, num_eigs:250, dtype:torch.float64, run_time:0.6554110050201416, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:600380136
N:10000, num_eigs:500, dtype:torch.float64, run_time:4.1425981521606445, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:2400760136
N:15000, num_eigs:750, dtype:torch.float64, run_time:11.054589986801147, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:5401140136
N:20000, num_eigs:1000, dtype:torch.float64, run_time:29.120691299438477, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:9601520136
N:25000, num_eigs:1250, dtype:torch.float64, run_time:52.1819634437561, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:15001900136
N:30000, num_eigs:1500, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:21602280136
N:35000, num_eigs:1750, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:29402660136
N:40000, num_eigs:2000, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:38403040136
N:45000, num_eigs:2250, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:48603420136
N:50000, num_eigs:2500, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverSyevdx, workspace_bytes:60003800136
N:100, num_eigs:100, dtype:torch.float32, run_time:1.0346014499664307, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:20166016
N:1000, num_eigs:1000, dtype:torch.float32, run_time:1.121391773223877, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:49957888
N:2000, num_eigs:2000, dtype:torch.float32, run_time:1.236234426498413, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:143571328
N:5000, num_eigs:5000, dtype:torch.float32, run_time:1.755993127822876, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:798547456
N:10000, num_eigs:10000, dtype:torch.float32, run_time:3.469217300415039, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:3673760128
N:15000, num_eigs:15000, dtype:torch.float32, run_time:7.950328350067139, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:7025997440
N:20000, num_eigs:20000, dtype:torch.float32, run_time:16.109558582305908, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:12473362688
N:25000, num_eigs:25000, dtype:torch.float32, run_time:29.35252046585083, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:19094459648
N:30000, num_eigs:30000, dtype:torch.float32, run_time:None, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:27576996992
N:35000, num_eigs:35000, dtype:torch.float32, run_time:None, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:37615290240
N:40000, num_eigs:40000, dtype:torch.float32, run_time:None, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:49209345792
