N, num_eigs, dtype, run_time, device, method, workspace_bytes
100, 5, torch.float32, 0.021660804748535156, A100-SXM4-80GB, cusolverSyevdx, 224740
1000, 50, torch.float32, 0.04226827621459961, A100-SXM4-80GB, cusolverSyevdx, 12052132
2000, 100, torch.float32, 0.04507923126220703, A100-SXM4-80GB, cusolverSyevdx, 48104132
5000, 250, torch.float32, 0.29065918922424316, A100-SXM4-80GB, cusolverSyevdx, 300260132
10000, 500, torch.float32, 1.5011518001556396, A100-SXM4-80GB, cusolverSyevdx, 1200520132
15000, 750, torch.float32, 4.006387710571289, A100-SXM4-80GB, cusolverSyevdx, 2700780132
20000, 1000, torch.float32, 8.289611101150513, A100-SXM4-80GB, cusolverSyevdx, 4801040132
25000, 1250, torch.float32, 14.87445330619812, A100-SXM4-80GB, cusolverSyevdx, 7501300132
30000, 1500, torch.float32, 24.150907039642334, A100-SXM4-80GB, cusolverSyevdx, 10801560132
35000, 1750, torch.float32, 36.59126162528992, A100-SXM4-80GB, cusolverSyevdx, 14701820132
40000, 2000, torch.float32, 52.30484580993652, A100-SXM4-80GB, cusolverSyevdx, 19202080132
45000, 2250, torch.float32, 73.68210196495056, A100-SXM4-80GB, cusolverSyevdx, 24302340132
50000, 2500, torch.float32, 98.86071729660034, A100-SXM4-80GB, cusolverSyevdx, 30002600132
100, 5, torch.float64, 0.006278038024902344, A100-SXM4-80GB, cusolverSyevdx, 449352
1000, 50, torch.float64, 0.026276588439941406, A100-SXM4-80GB, cusolverSyevdx, 24076136
2000, 100, torch.float64, 0.04447793960571289, A100-SXM4-80GB, cusolverSyevdx, 96152136
5000, 250, torch.float64, 0.4162266254425049, A100-SXM4-80GB, cusolverSyevdx, 600380136
10000, 500, torch.float64, 2.4137585163116455, A100-SXM4-80GB, cusolverSyevdx, 2400760136
15000, 750, torch.float64, 6.73442816734314, A100-SXM4-80GB, cusolverSyevdx, 5401140136
20000, 1000, torch.float64, 14.804710626602173, A100-SXM4-80GB, cusolverSyevdx, 9601520136
25000, 1250, torch.float64, 27.48064947128296, A100-SXM4-80GB, cusolverSyevdx, 15001900136
30000, 1500, torch.float64, 45.270405530929565, A100-SXM4-80GB, cusolverSyevdx, 21602280136
35000, 1750, torch.float64, 72.29368448257446, A100-SXM4-80GB, cusolverSyevdx, 29402660136
40000, 2000, torch.float64, 102.73811340332031, A100-SXM4-80GB, cusolverSyevdx, 38403040136
45000, 2250, torch.float64, 146.16737031936646, A100-SXM4-80GB, cusolverSyevdx, 48603420136
50000, 2500, torch.float64, 196.55926370620728, A100-SXM4-80GB, cusolverSyevdx, 60003800136
100, 100, torch.float32, 2.8135156631469727, A100-SXM4-80GB, cusolverMgsyevd, 20166016
1000, 1000, torch.float32, 2.9451239109039307, A100-SXM4-80GB, cusolverMgsyevd, 49957888
2000, 2000, torch.float32, 3.1540322303771973, A100-SXM4-80GB, cusolverMgsyevd, 143571328
5000, 5000, torch.float32, 4.022185325622559, A100-SXM4-80GB, cusolverMgsyevd, 798547456
10000, 10000, torch.float32, 6.143626689910889, A100-SXM4-80GB, cusolverMgsyevd, 3673760128
15000, 15000, torch.float32, 10.115327596664429, A100-SXM4-80GB, cusolverMgsyevd, 7025997440
20000, 20000, torch.float32, 16.723392724990845, A100-SXM4-80GB, cusolverMgsyevd, 12473362688
25000, 25000, torch.float32, 26.339320421218872, A100-SXM4-80GB, cusolverMgsyevd, 19094459648
30000, 30000, torch.float32, 40.35883831977844, A100-SXM4-80GB, cusolverMgsyevd, 27576996992
35000, 35000, torch.float32, 59.07780456542969, A100-SXM4-80GB, cusolverMgsyevd, 37615290240
40000, 40000, torch.float32, 82.67464756965637, A100-SXM4-80GB, cusolverMgsyevd, 49209345792
45000, 45000, torch.float32, 113.54239892959595, A100-SXM4-80GB, cusolverMgsyevd, 61671459968
50000, 50000, torch.float32, None, A100-SXM4-80GB, cusolverMgsyevd, 76300687488
