N,Eigenvalues,Precision,Seconds,Device,Method,Workspace MB
100,5,f32,0.02, A100-SXM4-80GB, cusolverSyevdx,0
1000,50,f32,0.04, A100-SXM4-80GB, cusolverSyevdx,12
2000,100,f32,0.05, A100-SXM4-80GB, cusolverSyevdx,48
5000,250,f32,0.29, A100-SXM4-80GB, cusolverSyevdx,300
10000,500,f32,1.5, A100-SXM4-80GB, cusolverSyevdx,1200
15000,750,f32,4.01, A100-SXM4-80GB, cusolverSyevdx,2700
20000,1000,f32,8.29, A100-SXM4-80GB, cusolverSyevdx,4801
25000,1250,f32,14.87, A100-SXM4-80GB, cusolverSyevdx,7501
30000,1500,f32,24.15, A100-SXM4-80GB, cusolverSyevdx,10801
35000,1750,f32,36.59, A100-SXM4-80GB, cusolverSyevdx,14701
40000,2000,f32,52.3, A100-SXM4-80GB, cusolverSyevdx,19202
45000,2250,f32,73.68, A100-SXM4-80GB, cusolverSyevdx,24302
50000,2500,f32,98.86, A100-SXM4-80GB, cusolverSyevdx,30002
100,5,f64,0.01, A100-SXM4-80GB, cusolverSyevdx,0
1000,50,f64,0.03, A100-SXM4-80GB, cusolverSyevdx,24
2000,100,f64,0.04, A100-SXM4-80GB, cusolverSyevdx,96
5000,250,f64,0.42, A100-SXM4-80GB, cusolverSyevdx,600
10000,500,f64,2.41, A100-SXM4-80GB, cusolverSyevdx,2400
15000,750,f64,6.73, A100-SXM4-80GB, cusolverSyevdx,5401
20000,1000,f64,14.8, A100-SXM4-80GB, cusolverSyevdx,9601
25000,1250,f64,27.48, A100-SXM4-80GB, cusolverSyevdx,15001
30000,1500,f64,45.27, A100-SXM4-80GB, cusolverSyevdx,21602
35000,1750,f64,72.29, A100-SXM4-80GB, cusolverSyevdx,29402
40000,2000,f64,102.74, A100-SXM4-80GB, cusolverSyevdx,38403
45000,2250,f64,146.17, A100-SXM4-80GB, cusolverSyevdx,48603
50000,2500,f64,196.56, A100-SXM4-80GB, cusolverSyevdx,60003
100,100,f32,2.81, A100-SXM4-80GB, cusolverMgsyevd,20
1000,1000,f32,2.95, A100-SXM4-80GB, cusolverMgsyevd,49
2000,2000,f32,3.15, A100-SXM4-80GB, cusolverMgsyevd,143
5000,5000,f32,4.02, A100-SXM4-80GB, cusolverMgsyevd,798
10000,10000,f32,6.14, A100-SXM4-80GB, cusolverMgsyevd,3673
15000,15000,f32,10.12, A100-SXM4-80GB, cusolverMgsyevd,7025
20000,20000,f32,16.72, A100-SXM4-80GB, cusolverMgsyevd,12473
25000,25000,f32,26.34, A100-SXM4-80GB, cusolverMgsyevd,19094
30000,30000,f32,40.36, A100-SXM4-80GB, cusolverMgsyevd,27576
35000,35000,f32,59.08, A100-SXM4-80GB, cusolverMgsyevd,37615
40000,40000,f32,82.67, A100-SXM4-80GB, cusolverMgsyevd,49209
45000,45000,f32,113.54, A100-SXM4-80GB, cusolverMgsyevd,61671
50000,50000,f32,, A100-SXM4-80GB, cusolverMgsyevd,76300
100,100,f64,3.01, A100-SXM4-80GB, cusolverMgsyevd,19
1000,1000,f64,3.15, A100-SXM4-80GB, cusolverMgsyevd,45
2000,2000,f64,3.35, A100-SXM4-80GB, cusolverMgsyevd,123
5000,5000,f64,4.4, A100-SXM4-80GB, cusolverMgsyevd,675
10000,10000,f64,7.03, A100-SXM4-80GB, cusolverMgsyevd,3182
15000,15000,f64,12.59, A100-SXM4-80GB, cusolverMgsyevd,5920
20000,20000,f64,22.17, A100-SXM4-80GB, cusolverMgsyevd,10507
25000,25000,f64,35.77, A100-SXM4-80GB, cusolverMgsyevd,16084
30000,30000,f64,55.64, A100-SXM4-80GB, cusolverMgsyevd,23227
35000,35000,f64,82.73, A100-SXM4-80GB, cusolverMgsyevd,31680
40000,40000,f64,115.88, A100-SXM4-80GB, cusolverMgsyevd,41443
45000,45000,f64,160.69, A100-SXM4-80GB, cusolverMgsyevd,51939
50000,50000,f64,, A100-SXM4-80GB, cusolverMgsyevd,64259
100,100,f32,3.13, 2xA100-SXM4-80GB, cusolverMgsyevd,20
1000,1000,f32,3.35, 2xA100-SXM4-80GB, cusolverMgsyevd,34
2000,2000,f32,3.58, 2xA100-SXM4-80GB, cusolverMgsyevd,81
5000,5000,f32,4.45, 2xA100-SXM4-80GB, cusolverMgsyevd,408
10000,10000,f32,6.36, 2xA100-SXM4-80GB, cusolverMgsyevd,3018
